DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2014-07,42575471,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2014-08,48394056,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2014-09,37232561,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2014-10,34594583,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2014-11,22382570,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2014-12,22043856,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-01,18389656,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-02,20673327,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-03,23883610,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-04,28260432,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-05,36902267,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-06,36999438,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-07,45526486,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-08,49351481,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-09,37976122,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-10,35139112,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-11,23299511,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2015-12,22589383,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-01,19241090,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-02,21668003,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-03,26828206,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-04,27778721,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-05,38016449,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-06,36604523,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-07,47153756,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-08,48514508,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-09,39690983,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-10,36560502,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-11,23696956,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2016-12,23098174,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-01,20045437,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-02,21416188,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-03,25470048,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-04,32249471,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-05,36509604,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-06,41275936,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-07,48330126,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-08,49239488,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-09,40690474,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-10,36801351,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-11,24543021,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2017-12,24592074,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-01,21073137,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-02,22904817,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-03,28049301,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-04,31439099,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-05,40576707,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-06,41134500,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-07,51135052,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-08,50977416,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-09,42210633,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-10,38255123,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-11,25963191,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2018-12,25837308,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-01,21831852,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-02,23381703,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-03,27907030,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-04,35333543,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-05,39261263,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-06,45679059,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-07,53511362,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-08,52803502,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-09,42696566,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-10,40355536,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-11,27422337,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2019-12,26771095,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-01,22500365,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-02,25228589,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-03,11947012,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-04,2823161,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-05,9233239,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-06,26205270,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-07,41745182,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-08,45473924,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-09,36938216,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-10,28948606,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-11,5734186,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2020-12,3980122,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-01,3861419,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-02,4369302,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-03,5715602,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-04,5238806,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-05,10990320,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-06,26675316,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-07,43724798,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-08,51582630,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-09,40739337,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-10,38480928,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-11,20297238,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2021-12,14426958,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-01,12932753,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-02,15363386,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-03,21092145,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-04,31736309,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-05,38481653,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-06,44489834,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-07,51773014,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-08,53623688,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-09,42540751,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-10,39440782,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-11,25152685,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2022-12,23782055,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2023-01,19933570,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2023-02,22204826,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2023-03,26911365,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2023-04,35572970,
ESTAT:TOUR_OCC_NIM(1.0),11/08/23 11:00:00,M,TOTAL,NR,I551-I553,DE,2023-05,42149780,
